x,y
47235,25370
47305,25375
47376,25380
47447,25385
47518,25390
47588,25395
47659,25399
47730,25404
47800,25409
47871,25413
47942,25417
48013,25422
48083,25426
48154,25430
48225,25434
48295,25437
48366,25441
48437,25445
48508,25448
48578,25452
48649,25455
48720,25458
48790,25461
48861,25465
48932,25467
49002,25470
49073,25473
49144,25476
49215,25478
49285,25481
49356,25483
49427,25485
49497,25487
49568,25490
49639,25492
49710,25493
49780,25495
49851,25497
49922,25498
49992,25500
50063,25501
50134,25503
50205,25504
50275,25505
50346,25506
50417,25507
50487,25507
50558,25508
50629,25509
50700,25509
50770,25510
50841,25510
50912,25510
50982,25510
51053,25510
51124,25510
51195,25510
51265,25510
51336,25509
51407,25509
51477,25508
51548,25507
51619,25507
51690,25506
51760,25505
51831,25504
51902,25503
51972,25501
52043,25500
52114,25498
52184,25497
52255,25495
52326,25494
52397,25492
52467,25490
52538,25488
52609,25485
52679,25483
52750,25481
52821,25478
52892,25476
52962,25473
53033,25471
53104,25468
53174,25465
53245,25462
53316,25459
53387,25455
53457,25452
53528,25449
53599,25445
53669,25441
53740,25438
53811,25434
53882,25430
53952,25426
54023,25422
54094,25418
54164,25413
54235,25409
54306,25404
54377,25400
54447,25395
54518,25390
54589,25385
54659,25380
54730,25375
54801,25370
54871,25365
54942,25359
55013,25354
55084,25348
55154,25343
55225,25337
55296,25331
55366,25325
55437,25319
55508,25313
55579,25307
55649,25300
55720,25294
55791,25287
55861,25281
55932,25274
56003,25267
56074,25260
56144,25253
56215,25246
56286,25239
56356,25231
56427,25224
56498,25216
56569,25209
56639,25201
56710,25193
56781,25185
56851,25177
56922,25169
56993,25161
57064,25152
57134,25144
57205,25135
57276,25127
57346,25118
57417,25109
57488,25100
57558,25091
57629,25082
57700,25073
57771,25064
57841,25054
57912,25045
57983,25035
58053,25025
58124,25016
58195,25006
58266,24996
58336,24986
58407,24975
58478,24965
58548,24955
58619,24944
58690,24934
58761,24923
58831,24912
58902,24901
58973,24890
59043,24879
59114,24868
59185,24857
59256,24846
59326,24834
59397,24823
59468,24811
59538,24799
59609,24787
59680,24775
59751,24763
59821,24751
59892,24739
59963,24727
60033,24714
60104,24702
60175,24689
60245,24676
60316,24663
60387,24650
60458,24637
60528,24624
60599,24611
60670,24598
60740,24584
60811,24571
60882,24557
60953,24543
61023,24530
61094,24516
61165,24502
61235,24488
61306,24473
61377,24459
61448,24445
61518,24430
61589,24416
61660,24401
61730,24386
61801,24371
61872,24356
61943,24341
62013,24326
62084,24311
62155,24295
62225,24280
62296,24264
62367,24249
62438,24233
62508,24217
62579,24201
62650,24185
62720,24169
62791,24152
62862,24136
62933,24120
63003,24103
63074,24086
63145,24070
63215,24053
63286,24036
63357,24019
63427,24002
63498,23984
63569,23967
63640,23950
63710,23932
63781,23914
63852,23897
63922,23879
63993,23861
64064,23843
64135,23825
64205,23807
64276,23788
64347,23770
64417,23751
64488,23733
64559,23714
64630,23695
64700,23676
64771,23657
64842,23638
64912,23619
64983,23600
65054,23580
65125,23561
65195,23541
65266,23521
65337,23502
65407,23482
65478,23462
